state,energy_type,best_model,MAE,RMSE,R2,WAPE,MAPE,SMAPE
All India,wind_energy,LSTM,36.649329039358165,52.01418324860199,0.846540045921952,16.39318233314974,20.305704315523414,18.757306667942075
All India,solar_energy,Ensemble,30.07976036319772,36.93259964994884,0.717513248273244,7.960468891408699,7.936877900383993,8.063598171517183
All India,other_renewable_energy,CNN,2.8426261157303796,5.921841112500607,0.015874051397433697,9.867032555290585,9.373610398668346,9.635648800628594
Andhra Pradesh,wind_energy,LSTM,5.229452522857373,7.205150041895731,0.8657338565749316,24.377616915246332,50.075043812839326,34.77614421538438
Andhra Pradesh,solar_energy,Ensemble,2.926738263859516,4.156536185294321,0.26924130432026183,14.794499307604964,22.71094472720672,16.74381020482316
Bihar,other_renewable_energy,LSTM,0.17005315435517374,0.3098873837998528,0.2520788642669194,81.47343035382292,72.34753531157402,175.51562811411515
Delhi,other_renewable_energy,CNN-LSTM,0.2151085450285011,0.28383342589720045,0.18215170486466725,13.728142000436172,18.053827902061133,15.091171083931354
Gujarat,wind_energy,LSTM,19.73994536514622,27.497621295948555,0.6142678827993846,26.870107533106157,36.74694967636075,29.619227770785848
Gujarat,solar_energy,CNN,6.623929997480578,8.488238497863428,0.7903696144203414,11.972171872313398,15.295070955829198,13.725594436454546
Gujarat,other_renewable_energy,CNN,0.07429900433376638,0.1125295811453717,0.002332776312494622,75.34546918353774,22.957287309036015,94.11468507960805
Haryana,solar_energy,CNN-LSTM,0.11908413112163545,0.16557962942919915,0.3732963453335614,15.821629467002051,28.721205718426774,18.396623032659406
Haryana,other_renewable_energy,LSTM,0.1732671442805893,0.21656865058654837,0.6437543350800418,11.642558597321964,12.997791801016229,12.490208172527446
Himachal Pradesh,other_renewable_energy,LSTM,0.8008562413801751,1.1860760045906409,0.8933564529003563,9.900491298148493,11.668369690945548,11.494487328341144
Karnataka,wind_energy,LSTM,5.736288283391131,7.803751565976809,0.8590538806956022,20.24008787769687,28.385529504738194,24.91674908017316
Karnataka,solar_energy,Ensemble,4.7692610552448915,6.420473313789039,0.46407002464857927,11.502180808159167,14.143156490424557,12.491902794233686
Karnataka,other_renewable_energy,Ensemble,2.2028782959855677,3.243758098591184,0.39455895108806704,22.624434031381895,26.14844823047811,28.64860374619233
Kerala,solar_energy,CNN-LSTM,0.3256269660748335,1.785058914376557,0.003140193023072113,24.545260115777143,23.9019664348827,20.043878582256276
Madhya Pradesh,wind_energy,LSTM,4.85308992728591,5.9878267033393655,0.2778268957934019,47.428193767758714,110.88006812967043,53.2852966692468
Madhya Pradesh,solar_energy,CNN,3.1302904446116764,3.6720186064666733,0.5161769559278013,16.686872672379533,18.10277720368835,18.479931179838506
Madhya Pradesh,other_renewable_energy,Ensemble,0.2633440170920005,0.35222991268574017,0.591886791993188,15.970998341159062,15.100065799201309,16.794656809474976
Maharashtra,wind_energy,LSTM,5.0176530366432335,6.294923749212253,0.8550042696871134,26.15934503260679,48.71524635506519,34.78722525741157
Maharashtra,solar_energy,CNN,2.285940279399355,2.9752074414859604,0.6213697862118814,12.184136350878532,14.264448987423487,13.574038231886812
Punjab,solar_energy,LSTM,0.4849933531549242,0.5984619541178261,0.5051177604541799,13.043884167508832,15.241821221941024,13.994820390682811
Punjab,other_renewable_energy,LSTM,0.14643723195128974,0.20139213489606947,0.8021542529750699,6.077844922289715,6.045344299306986,5.922482613280795
Rajasthan,wind_energy,LSTM,8.044452202700079,10.45527267882944,0.5198783979413056,41.45508930831948,72.41885450288217,47.12594984844161
Rajasthan,solar_energy,CNN,15.987297771693939,20.765264483273416,0.42776740924466683,11.236865894513707,13.285010856542318,12.300614693285315
Rajasthan,other_renewable_energy,CNN,0.27870626229937706,0.4342642593892403,0.06720583193007346,44.98083673799684,46.126125363794415,44.376257854496465
Tamil Nadu,wind_energy,LSTM,12.200978143004702,16.19452856990629,0.8648908265021522,25.099800460478654,53.487498435993864,37.58771212809471
Tamil Nadu,solar_energy,CNN-LSTM,5.994669729974535,7.498126474847248,0.19574223712288297,16.36137029128538,22.38368681875456,17.821403761406273
Telangana,wind_energy,CNN-LSTM,0.41165231785260975,1.0637602263060226,0.09210293510403944,48.82056808662149,106.83132185912967,50.51086203424394
Telangana,solar_energy,LSTM,1.9374265713592378,2.491825995971453,0.6299313376528741,10.68384672409855,14.095923114311514,12.241113710803129
Uttar Pradesh,solar_energy,LSTM,1.4594366503862874,1.8985868132135972,0.6588298325792754,11.267581706253466,62.85705361085559,12.540898797222914
Uttarakhand,solar_energy,Ensemble,0.09209621551543198,0.12482175894451748,0.35899434062318014,17.396703528993342,29.337462470573506,20.903319167209776
Uttarakhand,other_renewable_energy,Ensemble,0.06942587769624813,0.11219917082801427,0.8028167031903781,32.86864278096965,31.04366369496719,124.0083994375716
West Bengal,other_renewable_energy,LSTM,0.37613897443366134,4.645543963312815,0.013315952916035823,55.1838091108151,26.23316100167612,87.44820420519542
