MAE,RMSE,R2,WAPE,MAPE,SMAPE,model,score,is_best
27.632045255600993,36.46477653541696,0.3216674442516527,37.612871446372154,49.49415475019287,40.39856819026111,CNN,-0.04694716519354407,False
19.73994536514622,27.497621295948555,0.6142678827993846,26.870107533106157,36.74694967636075,29.619227770785848,LSTM,0.19060584635998795,True
25.803502785514006,34.777820346233355,0.38297854223594596,35.12385073779205,41.622694187346845,38.6117385511574,CNN-LSTM,0.0024380015452059867,False
22.23958814595619,29.741862815862937,0.5487347617682311,30.272633177037644,39.35009942668275,33.01779186704443,Ensemble,0.13434303772620423,False
