MAE,RMSE,R2,WAPE,MAPE,SMAPE,model,score,is_best
8.650687653608413,11.439687338042518,0.6971172343474594,30.523340121956522,45.42673174941261,36.483642239826445,CNN,0.24715409605988248,False
5.736288283391131,7.803751565976809,0.8590538806956022,20.24008787769687,28.385529504738194,24.91674908017316,LSTM,0.39986657471768994,True
7.321186026448383,9.740017801933087,0.7804336643558367,25.83228757406191,37.12061976792083,31.474577668587617,CNN-LSTM,0.32287981775980146,False
6.75179396581167,9.001654397192022,0.8124612907692622,23.82322792175709,35.117076385126396,29.221504402267428,Ensemble,0.35321884503495815,False
